probe	group	case	expected	observed	status
artwork-anchor	reference point by artwork	calligraphicBrush, axis 90	the effect and the native command anchor in the same place	the two results differ by more than a translation: the two vertical edges disagree by 0.782174 pt and the horizontal edges moved by 0.036363 pt, so the difference is in what was transformed rather than in where it was anchored. Illustrator regenerates this artwork from the path, so the two routes cannot agree and Adobe's own effect does not agree with Adobe's own command either	EXPECTED
artwork-anchor	reference point by artwork	artBrush, axis 0	the effect and the native command anchor in the same place	the two results differ by more than a translation: the two horizontal edges disagree by 0.490803 pt and the vertical edges moved by 1.045654 pt, so the difference is in what was transformed rather than in where it was anchored. Illustrator regenerates this artwork from the path, so the two routes cannot agree and Adobe's own effect does not agree with Adobe's own command either	EXPECTED
artwork-anchor	reference point by artwork	artBrush, axis 90	the effect and the native command anchor in the same place	the two results differ by more than a translation: the two vertical edges disagree by 0.921778 pt and the horizontal edges moved by 0.605835 pt, so the difference is in what was transformed rather than in where it was anchored. Illustrator regenerates this artwork from the path, so the two routes cannot agree and Adobe's own effect does not agree with Adobe's own command either	EXPECTED
artwork-anchor	reference point by artwork	patternBrush, axis 0	the effect and the native command anchor in the same place	the two results differ by more than a translation: the two horizontal edges disagree by 1.213142 pt and the vertical edges moved by 2.19538 pt, so the difference is in what was transformed rather than in where it was anchored. Illustrator regenerates this artwork from the path, so the two routes cannot agree and Adobe's own effect does not agree with Adobe's own command either	EXPECTED
artwork-anchor	reference point by artwork	patternBrush, axis 90	the effect and the native command anchor in the same place	the two results differ by more than a translation: the two vertical edges disagree by 3.014916 pt and the horizontal edges moved by 2.914069 pt, so the difference is in what was transformed rather than in where it was anchored. Illustrator regenerates this artwork from the path, so the two routes cannot agree and Adobe's own effect does not agree with Adobe's own command either	EXPECTED
artwork-anchor	reference point by artwork	embeddedRaster, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	embeddedRaster, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	rotatedRect, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	rotatedRect, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	scaledRect, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	scaledRect, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	reflectedRect, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	reflectedRect, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
